driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
232,800.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31568.000000000004,31148,15.91
601,1000.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31199.000000000004,30779,27.94
834,700.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,30966.000000000004,30546,34.93
900,600.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,30900.000000000004,30480,31.59
1015,599.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,30785.000000000004,30365,31.22
1136,700.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,30664.000000000004,30244,44.18
1189,900.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,30611.000000000004,30191,31.09
1302,700.0,100.0,100.0,2.0,7.0,0.0,0.00921,-0.0119994,0.00499996,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15.6663,0.801657,0,30498.000000000004,30078,28.26
1458,100.0,100.0,100.0,6.0,7.0,0.0,0.00034,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30342.000000000004,29922,48.5
1462,1099.0,100.0,100.0,6.0,6.0,0.00034,0.00034,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30338.000000000004,29918,56.39
1534,200.0,100.0,100.0,6.0,6.0,0.00034,0.00034,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30266.000000000004,29846,63.03
1544,900.0,100.0,100.0,6.0,6.0,0.00034,0.00034,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30256.000000000004,29836,64.77
1589,801.0,100.0,100.0,6.0,6.0,0.0,0.00034,-0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30211.000000000004,29791,67.38
1632,100.0,100.0,100.0,6.0,6.0,0.0,1e-05,-0.0119994,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30168.000000000004,29748,72.94
1635,700.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.0119994,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30165.000000000004,29745,72.42
1671,800.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.0119994,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30129.000000000004,29709,66.32
1714,500.0,100.0,100.0,3.0,7.0,1e-05,0.00272,-0.032988,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.6117,1.84402,0,30086.000000000004,29666,58.07
1741,300.0,100.0,100.0,4.0,4.0,0.00272,0.00272,-0.032988,0.0399787,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.6117,1.84402,0,30059.000000000004,29639,50.92
1766,600.0,100.0,100.0,4.0,4.0,1e-05,0.00272,-0.032988,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.6117,1.84402,0,30034.000000000004,29614,60.72
1804,800.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,29996.000000000004,29576,75.49
1835,600.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,29965.000000000004,29545,74.81
1866,600.0,100.0,100.0,4.0,5.0,0.0,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,29934.000000000004,29514,73.56
1898,600.0,100.0,100.0,4.0,5.0,0.0,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,29902.000000000004,29482,73.97
1929,800.0,100.0,100.0,3.0,5.0,0.0,1e-05,-0.00899976,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,29871.000000000004,29451,74.54
1961,600.0,100.0,100.0,3.0,5.0,0.0,0.00025,-0.00699989,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,29839.000000000004,29419,74.78
1992,600.0,100.0,100.0,3.0,4.0,0.00025,0.00028,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,29808.000000000004,29388,74.53
2023,599.0,100.0,100.0,4.0,4.0,0.00028,0.00028,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,29777.000000000004,29357,74.28
2052,101.0,100.0,100.0,4.0,4.0,0.00028,0.00028,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,29748.000000000004,29328,68.64
2055,700.0,100.0,100.0,3.0,4.0,0.00027,0.00029,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,19.1209,0.845651,0,29745.000000000004,29325,53.49
2102,699.0,100.0,100.0,3.0,6.0,1e-05,0.00029,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,19.1209,0.845651,0,29698.000000000004,29278,51.7
2153,801.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,29647.000000000004,29227,53.19
2203,300.0,100.0,100.0,4.0,4.0,1e-05,0.00011,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,29597.000000000004,29177,66.64
2215,399.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.00299999,-0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,29585.000000000004,29165,71.35
2241,801.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29559.000000000004,29139,75.63
2275,600.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29525.000000000004,29105,76.64
2307,700.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29493.000000000004,29073,78.68
2338,399.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29462.000000000004,29042,79.15
2355,200.0,100.0,100.0,4.0,4.0,3e-05,0.00011,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29445.000000000004,29025,76.22
2369,800.0,100.0,100.0,4.0,4.0,0.0,3e-05,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29431.000000000004,29011,74.89
2400,601.0,100.0,100.0,4.0,4.0,0.0,1e-05,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29400.000000000004,28980,75.53
2432,600.0,100.0,100.0,3.0,5.0,0.0,1e-05,-0.00299999,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29368.000000000004,28948,75.15
2463,800.0,100.0,100.0,3.0,5.0,0.0,1e-05,-0.0119994,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7024,2.07513,0,29337.000000000004,28917,75.22
2495,601.0,100.0,100.0,3.0,6.0,1e-05,0.00013,-0.0119994,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.3937,1.93796,0,29305.000000000004,28885,77.94
2525,700.0,100.0,100.0,5.0,6.0,0.00013,0.00017,-0.002,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.3937,1.93796,0,29275.000000000004,28855,65.68
2562,400.0,100.0,100.0,4.0,6.0,9e-05,0.00017,-0.00899976,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.3937,1.93796,0,29238.000000000004,28818,70.39
2584,300.0,100.0,100.0,4.0,5.0,3e-05,9e-05,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,29216.000000000004,28796,74.23
2597,700.0,100.0,100.0,4.0,6.0,1e-05,0.00018,-0.00299999,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,29203.000000000004,28783,68.22
2634,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,29166.000000000004,28746,74.96
2667,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,29133.000000000004,28713,73.52
2700,600.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,29100.000000000004,28680,73.78
2732,600.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,29068.000000000004,28648,71.82
2764,699.0,100.0,100.0,5.0,5.0,0.00018,0.00018,0.002,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,29036.000000000004,28616,55.44
2806,700.0,100.0,100.0,5.0,7.0,0.00014,0.00018,-0.00299999,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,28994.000000000004,28574,77.87
2836,600.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.00299999,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,28964.000000000004,28544,75.42
2867,699.0,100.0,100.0,5.0,5.0,0.00014,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,28933.000000000004,28513,65.51
2903,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0259941,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,28897.000000000004,28477,49.09
2951,600.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0259941,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,28849.000000000004,28429,60.02
2990,699.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0259941,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,28810.000000000004,28390,72.94
3022,601.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0259941,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,28778.000000000004,28358,76.87
3054,800.0,100.0,100.0,5.0,7.0,0.00017,0.00018,-0.00999967,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28746.000000000004,28326,78.12
3082,600.0,100.0,100.0,4.0,7.0,0.00017,0.00018,-0.0139991,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28718.000000000004,28298,69.82
3116,599.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0139991,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28684.000000000004,28264,71.54
3148,700.0,100.0,100.0,4.0,6.0,0.00018,0.00018,-0.0139991,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28652.000000000004,28232,82.61
3177,800.0,100.0,100.0,5.0,6.0,0.00016,0.00018,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28623.000000000004,28203,76.42
3210,601.0,100.0,100.0,5.0,8.0,5e-05,0.00016,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28590.000000000004,28170,75.14
3244,300.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.002,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28556.000000000004,28136,69.74
3257,500.0,100.0,100.0,6.0,6.0,0.00012,0.00012,-0.002,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28543.000000000004,28123,65.07
3281,599.0,100.0,100.0,6.0,6.0,1e-05,0.00012,-0.00899976,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4551,1.73055,0,28519.000000000004,28099,57.15
3323,700.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28477.000000000004,28057,65.34
3360,600.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28440.000000000004,28020,73.24
3392,699.0,0.0,100.0,5.0,7.0,0.0,1e-05,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28408.000000000004,27988,67.01
3428,801.0,0.0,100.0,5.0,7.0,0.0,0.00015,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28372.000000000004,27952,45.94
3481,100.0,0.0,0.0,6.0,6.0,0.0,0.00015,-0.0139991,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28319.000000000004,27899,27.42
3495,500.0,0.0,0.0,6.0,6.0,0.00015,0.00015,-0.0169984,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28305.000000000004,27885,56.36
3532,700.0,0.0,0.0,6.0,6.0,0.00015,0.00015,-0.0169984,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28268.000000000004,27848,69.83
3569,800.0,0.0,0.0,6.0,6.0,0.00015,0.00015,-0.0169984,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28231.000000000004,27811,70.02
3606,500.0,0.0,0.0,6.0,6.0,0.00015,0.00018,-0.0169984,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28194.000000000004,27774,70.42
3633,200.0,0.0,0.0,6.0,6.0,0.00018,0.00019,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.1303,1.75286,0,28167.000000000004,27747,73.4
3643,800.0,0.0,0.0,6.0,6.0,0.00019,0.00019,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.3741,1.68515,0,28157.000000000004,27737,72.76
3681,800.0,0.0,100.0,6.0,7.0,0.00019,0.00019,-0.0169984,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.3741,1.68515,0,28119.000000000004,27699,70.11
3724,100.0,0.0,0.0,7.0,7.0,0.00019,0.00019,-0.0169984,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,28076.000000000004,27656,77.31
3726,1000.0,0.0,0.0,7.0,7.0,0.00019,0.00019,-0.0169984,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,28074.000000000004,27654,70.78
3777,400.0,0.0,0.0,5.0,7.0,1e-05,0.00019,-0.0209969,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,28023.000000000004,27603,76.07
3796,500.0,0.0,0.0,4.0,6.0,0.0001,0.0004,-0.0209969,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,28004.000000000004,27584,78.1
3822,800.0,0.0,100.0,4.0,7.0,0.00024,0.0004,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,27978.000000000004,27558,71.07
3862,700.0,100.0,100.0,6.0,6.0,0.0,0.00024,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,27938.000000000004,27518,73.41
3892,100.0,100.0,100.0,6.0,6.0,0.0,0.00018,-0.00999967,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,27908.000000000004,27488,69.48
3897,600.0,100.0,100.0,6.0,6.0,0.0,0.00018,-0.00999967,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,27903.000000000004,27483,59.89
3937,800.0,100.0,100.0,6.0,6.0,2e-05,0.00018,-0.00999967,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.2884,2.67435,0,27863.000000000004,27443,65.03
3974,700.0,100.0,100.0,6.0,6.0,1e-05,2e-05,0.0,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.8389,2.25599,0,27826.000000000004,27406,62.24
4011,600.0,0.0,100.0,2.0,7.0,0.0,0.00037,-0.0139991,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,19.8389,2.25599,0,27789.000000000004,27369,57.82
4052,900.0,0.0,100.0,2.0,5.0,0.00024,0.00485,-0.0139991,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,19.8389,2.25599,0,27748.000000000004,27328,47.85
4117,1199.0,100.0,100.0,4.0,6.0,1e-05,0.00088,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.8389,2.25599,0,27683.000000000004,27263,66.77
4181,101.0,100.0,100.0,4.0,4.0,0.00088,0.00088,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.8958,1.58368,0,27619.000000000004,27199,73.41
4187,1100.0,100.0,100.0,4.0,4.0,0.00088,0.00088,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.8958,1.58368,0,27613.000000000004,27193,72.99
4242,200.0,100.0,100.0,4.0,4.0,0.00088,0.00088,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.8958,1.58368,0,27558.000000000004,27138,75.15
4255,1099.0,100.0,100.0,3.0,4.0,0.00088,0.00091,-0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.8958,1.58368,0,27545.000000000004,27125,75.47
4305,1200.0,100.0,100.0,2.0,5.0,1e-05,0.00091,-0.0139991,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8958,1.58368,0,27495.000000000004,27075,64.77
4368,1100.0,100.0,100.0,3.0,4.0,0.0,0.00031,-0.00699989,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8958,1.58368,0,27432.000000000004,27012,74.56
4422,1100.0,100.0,100.0,3.0,4.0,0.0,0.00034,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.7384,1.66634,0,27378.000000000004,26958,71.05
4476,99.0,100.0,100.0,3.0,3.0,0.00034,0.00034,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.7384,1.66634,0,27324.000000000004,26904,68.76
4484,1301.0,100.0,100.0,3.0,4.0,0.00031,0.00034,-0.00999967,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.7384,1.66634,0,27316.000000000004,26896,75.02
4544,0.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.7384,1.66634,0,27256.000000000004,26836,71.57
4545,1199.0,100.0,100.0,4.0,4.0,0.00031,0.00031,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.7384,1.66634,0,27255.000000000004,26835,72.42
4601,1101.0,100.0,100.0,3.0,5.0,0.0,0.00031,-0.00699989,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.7384,1.66634,0,27199.000000000004,26779,73.21
4656,0.0,100.0,100.0,5.0,5.0,0.0,1e-05,0.00899976,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.783,3.71167,0,27144.000000000004,26724,66.36
4659,1100.0,100.0,100.0,4.0,5.0,0.0,0.00092,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.783,3.71167,0,27141.000000000004,26721,66.68
4718,700.0,100.0,100.0,4.0,4.0,0.00092,0.00092,-0.00899976,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.783,3.71167,0,27082.000000000004,26662,69.42
4752,599.0,100.0,100.0,4.0,4.0,0.00027,0.00092,-0.0259941,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.783,3.71167,0,27048.000000000004,26628,73.57
4785,801.0,100.0,100.0,3.0,4.0,0.00027,0.00066,-0.0259941,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.4801,2.06333,0,27015.000000000004,26595,81.17
4816,400.0,100.0,100.0,3.0,4.0,0.00066,0.00066,-0.0159986,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.4801,2.06333,0,26984.000000000004,26564,84.57
4831,400.0,100.0,100.0,3.0,4.0,0.00066,0.00067,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4801,2.06333,0,26969.000000000004,26549,75.94
4851,899.0,100.0,100.0,3.0,4.0,0.00026,0.00066,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4801,2.06333,0,26949.000000000004,26529,75.17
4899,200.0,100.0,100.0,2.0,5.0,0.00024,0.00026,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4801,2.06333,0,26901.000000000004,26481,80.8
4910,1100.0,100.0,100.0,3.0,4.0,0.0,0.00024,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.4801,2.06333,0,26890.000000000004,26470,73.48
4957,1000.0,100.0,100.0,4.0,4.0,0.0,1e-05,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.7992,1.59037,0,26843.000000000004,26423,69.9
5008,199.0,100.0,100.0,4.0,4.0,0.0,0.0,-0.00899976,-0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.7992,1.59037,0,26792.000000000004,26372,72.37
5017,1101.0,60.0,100.0,3.0,5.0,0.0,1e-05,-0.00899976,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.7992,1.59037,0,26783.000000000004,26363,75.63
5074,700.0,60.0,60.0,4.0,4.0,1e-05,1e-05,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.7992,1.59037,0,26726.000000000004,26306,77.75
5102,600.0,0.0,100.0,2.0,6.0,0.0,0.00185,-0.0119994,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.7992,1.59037,0,26698.000000000004,26278,51.92
5144,800.0,100.0,100.0,2.0,4.0,0.00054,0.00538,-0.0369831,0.0399787,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.7992,1.59037,0,26656.000000000004,26236,42.72
5206,600.0,100.0,100.0,3.0,7.0,1e-05,0.0012,-0.00899976,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.7992,1.59037,0,26594.000000000004,26174,48.33
5254,600.0,100.0,100.0,5.0,6.0,0.0,1e-05,-0.0119994,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.7992,1.59037,0,26546.000000000004,26126,55.1
5297,599.0,100.0,100.0,4.0,6.0,0.0,0.00012,-0.0119994,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.7992,1.59037,0,26503.000000000004,26083,71.83
5330,801.0,100.0,100.0,4.0,6.0,0.00012,0.00019,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.7992,1.59037,0,26470.000000000004,26050,71.87
5363,699.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.7992,1.59037,0,26437.000000000004,26017,73.87
5396,301.0,0.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,26404.000000000004,25984,69.95
5411,300.0,0.0,0.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,26389.000000000004,25969,65.01
5435,900.0,0.0,0.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,26365.000000000004,25945,71.77
5474,700.0,0.0,0.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,26326.000000000004,25906,70.11
5510,200.0,0.0,0.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,26290.000000000004,25870,75.64
5518,1100.0,0.0,100.0,5.0,5.0,1e-05,0.00019,-0.00899976,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.7469,2.18575,0,26282.000000000004,25862,66.34
